CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
individual.closing,"Dê ao seu corpo tempo e atenção para descobrir novas possibilidades de movimento.","Give your body time and attention to discover new possibilities of movement.","Gi kroppen din tid og oppmerksomhet til å oppdage nye bevegelsesmuligheter."
individual.cta.button,"Agendar Sessão","Schedule Session","Bestill time"
individual.cta.text,"Entre em contato para agendar sua sessão individual de Biostretch.","Get in touch to schedule your individual Biostretch session.","Ta kontakt for å bestille din individuelle Biostretch-time."
individual.cta.title,"Agende sua sessão individual","Schedule your individual session","Bestill din individuelle time"
individual.deepening.kicker,"PARA QUEM QUER APROFUNDAR","FOR THOSE WHO WANT TO GO DEEPER","FOR DE SOM VIL GÅ DYPERE"
individual.deepening.p1,"Se você participou de um workshop e deseja explorar mais profundamente algum aspecto do trabalho, ou se busca uma abordagem mais focada em uma necessidade específica, a sessão individual pode ser uma excelente escolha.","If you have participated in a workshop and wish to explore some aspect of the work more deeply, or if you are looking for a more focused approach to a specific need, the individual session can be an excellent choice.","Hvis du har deltatt på en workshop og ønsker å utforske noen aspekter av arbeidet dypere, eller om du søker en mer fokusert tilnærming til et spesifikt behov, kan den individuelle timen være et utmerket valg."
individual.deepening.p2,"Dê ao seu corpo tempo e atenção para descobrir novas possibilidades de movimento.","Give your body time and attention to discover new possibilities of movement.","Gi kroppen din tid og oppmerksomhet til å oppdage nye bevegelsesmuligheter."
individual.focused.kicker,"DIRECIONADO AO QUE VOCÊ PRECISA","DIRECTED TO WHAT YOU NEED","RETTET MOT DET DU TRENGER"
individual.focused.p1,"A sessão individual permite aprofundar aspectos específicos, como tensões, postura, mobilidade, flexibilidade, equilíbrio, coordenação ou padrões de movimento. Cada sessão é adaptada às características e necessidades de cada pessoa, respeitando seu ritmo e seu momento.","The individual session allows you to deepen specific aspects, such as tension, posture, mobility, flexibility, balance, coordination or movement patterns. Each session is adapted to the characteristics and needs of each person, respecting their rhythm and their moment.","Den individuelle timen lar deg fordype spesifikke aspekter, som spenninger, holdning, mobilitet, fleksibilitet, balanse, koordinasjon eller bevegelsesmønstre. Hver time er tilpasset den enkeltes egenskaper og behov, med respekt for deres rytme og øyeblikk."
individual.focused.p2,"Mais do que simplesmente alongar ou movimentar o corpo, o Biostretch propõe uma investigação através do movimento, desenvolvendo uma consciência que pode ser levada para as atividades do dia a dia.","More than simply stretching or moving the body, Biostretch proposes an investigation through movement, developing an awareness that can be carried into daily activities.","Mer enn bare å tøye eller bevege kroppen, foreslår Biostretch en undersøkelse gjennom bevegelse, som utvikler en bevissthet som kan tas med inn i daglige aktiviteter."
individual.focused.pullQuote,"Uma investigação através do movimento.","An investigation through movement.","En undersøkelse gjennom bevegelse."
individual.hook,"As sessões individuais de Biostretch são uma opção para quem deseja aprofundar o trabalho corporal de forma personalizada, dedicando mais atenção a necessidades, percepções e padrões de movimento específicos.","Biostretch individual sessions are an option for those who wish to deepen their body work in a personalized way, dedicating more attention to specific needs, perceptions and movement patterns.","Individuelle Biostretch-timer er et alternativ for deg som ønsker å fordype kroppsarbeidet på en personlig måte, med mer oppmerksomhet til spesifikke behov, oppfatninger og bevegelsesmønstre."
individual.kicker,"SESSÕES INDIVIDUAIS","INDIVIDUAL SESSIONS","INDIVIDUELLE TIMER"
individual.subtitle,"Um trabalho personalizado, voltado para as suas necessidades.","A personalized approach, tailored to your needs.","Et personlig tilpasset arbeid, rettet mot dine behov."
individual.title,"Sessões Individuais de Biostretch","Biostretch Individual Sessions","Individuelle Biostretch-timer"
labels.all,"Todos","All","Alle"
labels.calendar,"Calendário","Calendar","Kalender"
labels.full_agenda,"Agenda Completa","Full Agenda","Full Agenda"
labels.program,"Programa","Program","Program"
labels.workshop,"Workshop","Workshop","Workshop"
labels.workshops,"Workshops","Workshops","Workshops"
legal.privacy.lastUpdated,"Última atualização: Setembro de 2026","Last updated: September 2026","Sist oppdatert: September 2026"
legal.privacy.sections,"[{""title"":""1. Introdução"",""content"":""<p>Bem-vindo ao site da <strong>Dance2Dance</strong> (incluindo as vertentes Biostretch e Be The Dance). Nosso compromisso é com a integridade e a segurança dos dados pessoais dos nossos usuários e alunos. Esta Política de Privacidade aplica-se a todas as interações digitais realizadas em nosso site, serviços associados e plataformas sob nosso controle.</p><p>Ao acessar e utilizar nossas plataformas, você reconhece e concorda com as práticas descritas nesta política. Nós tratamos a proteção de seus dados pessoais com a máxima seriedade e nos comprometemos a processá-los de forma responsável, transparente e segura, em conformidade com as legislações vigentes (como LGPD e GDPR).</p>""},{""title"":""2. Definições"",""content"":""<p><strong>Dados Pessoais:</strong> São informações que identificam ou podem identificar uma pessoa natural.</p><p><strong>Dados Pessoais Sensíveis:</strong> São informações que revelam características pessoais íntimas. Por precaução, solicitamos apenas informações essenciais para a prática de nossas atividades e adaptação ao seu corpo.</p><p><strong>Tratamento de Dados Pessoais:</strong> Abrange qualquer operação com Dados Pessoais, como coleta, registro, armazenamento, uso ou exclusão.</p>""},{""title"":""3. Dados Coletados"",""content"":""<p>Nós coletamos e processamos os seguintes tipos de dados pessoais:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li><strong>Informações Fornecidas por Você:</strong> Nome, sobrenome, endereço de e-mail, informações fornecidas durante o cadastro em workshops, formulários de anamnese ou contato.</li><li><strong>Informações Coletadas Automaticamente:</strong> Quando você visita nosso site, coletamos informações anonimizadas sobre seu dispositivo, localização genérica, páginas visitadas e interação, para fins estatísticos e de funcionamento da plataforma.</li></ul>""},{""title"":""4. Uso de Cookies"",""content"":""<p>Utilizamos cookies (pequenos arquivos de texto armazenados no seu dispositivo) para melhorar a experiência do usuário, entender como nossos serviços são utilizados e garantir o correto funcionamento do site.</p><p>Você pode configurar seu navegador para recusar cookies, mas isso pode afetar a disponibilidade de certas funcionalidades do site.</p>""},{""title"":""5. Finalidades do Processamento"",""content"":""<p>Os dados coletados são utilizados para:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li>Proporcionar, operar e melhorar nossos serviços, aulas e workshops;</li><li>Personalizar sua experiência e adaptar as práticas físicas (quando aplicável);</li><li>Comunicar informações importantes sobre a organização das turmas e eventos;</li><li>Cumprir obrigações legais aplicáveis.</li></ul>""},{""title"":""6. Compartilhamento de Dados"",""content"":""<p>Seus dados são confidenciais. Eles só serão compartilhados com prestadores de serviço estritamente necessários para a operação do site e gestão de turmas, exigindo deles as mesmas garantias de proteção de dados. Não vendemos suas informações para terceiros.</p>""},{""title"":""7. Seus Direitos"",""content"":""<p>Você possui diversos direitos em relação aos seus dados, incluindo: direito de acesso, retificação, exclusão de dados sob nossa posse, e direito de retirar o consentimento. Para exercer esses direitos, entre em contato conosco.</p>""},{""title"":""8. Prevenção de Spam e Serviços de Terceiros"",""content"":""<p>Para proteger nossos formulários e evitar mensagens de spam geradas por robôs, utilizamos o serviço Cloudflare Turnstile. Ao navegar e utilizar nosso site, você reconhece e concorda que a operação deste serviço de proteção invisível está sujeita ao <a href='https://www.cloudflare.com/en-gb/turnstile-privacy-policy/' target='_blank' rel='noopener noreferrer' class='text-[#CC5833] hover:underline'>Adendo de Privacidade do Cloudflare Turnstile</a>.</p>""}]","[{""title"":""1. Introduction"",""content"":""<p>Welcome to the <strong>Dance2Dance</strong> website (including Biostretch and Be The Dance). We are committed to the integrity and security of the personal data of our users and students. This Privacy Policy applies to all digital interactions on our website, associated services, and platforms under our control.</p><p>By accessing our platforms, you acknowledge and agree to the practices described herein. We process your data responsibly, transparently, and securely, in accordance with applicable laws (such as GDPR and LGPD).</p>""},{""title"":""2. Definitions"",""content"":""<p><strong>Personal Data:</strong> Information that identifies or can identify a natural person.</p><p><strong>Sensitive Personal Data:</strong> Information revealing intimate personal characteristics. We only request essential information required for our activities.</p><p><strong>Data Processing:</strong> Any operation involving Personal Data, such as collection, storage, use, or deletion.</p>""},{""title"":""3. Collected Data"",""content"":""<p>We collect and process:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li><strong>Information Provided by You:</strong> Name, surname, email address, info provided during workshop registration or contact forms.</li><li><strong>Automatically Collected Information:</strong> Anonymized data about your device, location, and interaction for statistical and functional purposes.</li></ul>""},{""title"":""4. Use of Cookies"",""content"":""<p>We use cookies to improve user experience, understand usage patterns, and ensure site functionality. You can configure your browser to refuse cookies, though some site features may be affected.</p>""},{""title"":""5. Processing Purposes"",""content"":""<p>The data is used to:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li>Provide and improve our services, classes, and workshops;</li><li>Personalize your experience;</li><li>Communicate important information about classes and events;</li><li>Comply with legal obligations.</li></ul>""},{""title"":""6. Data Sharing"",""content"":""<p>Your data is confidential. We only share it with strictly necessary service providers for site operation and class management, requiring the same data protection guarantees. We do not sell your information.</p>""},{""title"":""7. Your Rights"",""content"":""<p>You have rights regarding your data, including the right to access, rectify, delete, and withdraw consent. To exercise these rights, please contact us.</p>""},{""title"":""8. Spam Prevention and Third-Party Services"",""content"":""<p>To protect our forms and prevent spam messages generated by bots, we use the Cloudflare Turnstile service. By browsing and using our website, you acknowledge and agree that the operation of this invisible protection service is subject to the <a href='https://www.cloudflare.com/en-gb/turnstile-privacy-policy/' target='_blank' rel='noopener noreferrer' class='text-[#CC5833] hover:underline'>Cloudflare Turnstile Privacy Addendum</a>.</p>""}]","[{""title"":""1. Introduksjon"",""content"":""<p>Velkommen til <strong>Dance2Dance</strong> (inkludert Biostretch og Be The Dance). Vi er forpliktet til integriteten og sikkerheten til personopplysningene til våre brukere og studenter. Denne personvernerklæringen gjelder for all digital interaksjon på vår nettside og tilknyttede plattformer.</p><p>Ved å bruke plattformene våre anerkjenner og godtar du praksisene beskrevet her. Vi behandler dataene dine ansvarlig og i samsvar med gjeldende lover (som GDPR).</p>""},{""title"":""2. Definisjoner"",""content"":""<p><strong>Personopplysninger:</strong> Informasjon som identifiserer eller kan identifisere en fysisk person.</p><p><strong>Sensitive Personopplysninger:</strong> Informasjon som avslører intime personlige egenskaper. Vi ber kun om essensiell informasjon.</p><p><strong>Databehandling:</strong> Enhver operasjon som involverer personopplysninger, som innsamling, lagring eller sletting.</p>""},{""title"":""3. Innsamlede Data"",""content"":""<p>Vi samler inn og behandler:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li><strong>Informasjon fra deg:</strong> Navn, e-post, og info gitt ved registrering til workshops.</li><li><strong>Automatisk innsamlet informasjon:</strong> Anonymiserte data om enhet og interaksjon for statistiske formål.</li></ul>""},{""title"":""4. Bruk av Informasjonskapsler (Cookies)"",""content"":""<p>Vi bruker informasjonskapsler for å forbedre brukeropplevelsen og sikre nettstedets funksjonalitet. Du kan konfigurere nettleseren din til å avvise informasjonskapsler.</p>""},{""title"":""5. Formål med Behandlingen"",""content"":""<p>Dataene brukes til å:</p><ul class='list-disc pl-5 space-y-2 mt-2'><li>Tilby og forbedre våre tjenester;</li><li>Tilpasse opplevelsen din;</li><li>Kommunisere viktig informasjon om klasser;</li><li>Overholde juridiske forpliktelser.</li></ul>""},{""title"":""6. Datadeling"",""content"":""<p>Dine data er konfidensielle. Vi deler dem kun med strengt nødvendige tjenesteleverandører. Vi selger ikke informasjonen din.</p>""},{""title"":""7. Dine Rettigheter"",""content"":""<p>Du har rett til innsyn, retting, sletting, og til å trekke tilbake samtykke. Kontakt oss for å utøve disse rettighetene.</p>""},{""title"":""8. Spamforebygging og tredjepartstjenester"",""content"":""<p>For å beskytte skjemaene våre og forhindre spam-meldinger generert av roboter, bruker vi Cloudflare Turnstile-tjenesten. Ved å surfe og bruke nettstedet vårt, anerkjenner og godtar du at driften av denne usynlige beskyttelsestjenesten er underlagt <a href='https://www.cloudflare.com/en-gb/turnstile-privacy-policy/' target='_blank' rel='noopener noreferrer' class='text-[#CC5833] hover:underline'>Cloudflare Turnstile Privacy Addendum</a>.</p>""}]"
legal.privacy.title,"Política de Privacidade","Privacy Policy","Personvernerklæring"
legal.terms.lastUpdated,"Última atualização: Setembro de 2026","Last updated: September 2026","Sist oppdatert: September 2026"
legal.terms.sections,"[{""title"":""1. Aceitação dos Termos"",""content"":""<p>Seja bem-vindo ao site da <strong>Dance2Dance</strong>. Ao navegar e usar nosso site e serviços, você concorda automaticamente em seguir as regras e condições estabelecidas aqui. Caso não concorde com algum ponto, por favor, considere não usar nossos serviços. É muito importante para nós que você se sinta seguro e informado a todo momento.</p>""},{""title"":""2. Natureza da Prática e Isenção"",""content"":""<p>As metodologias ensinadas (Biostretch e Be The Dance) consistem em práticas focadas no movimento, respiração e consciência corporal. <strong>Elas não substituem orientações, diagnósticos ou tratamentos médicos, fisioterapêuticos ou psicológicos.</strong> Ao participar, você assume a responsabilidade de respeitar os limites do seu próprio corpo e buscar liberação médica caso possua condições preexistentes.</p>""},{""title"":""3. Inscrições e Cancelamentos"",""content"":""<p>Para participação em workshops e aulas regulares, as inscrições são confirmadas após o pagamento. Caso haja a necessidade de cancelamento por parte do aluno, aplicam-se regras específicas de antecedência informadas no momento da reserva, visando organizar o número limitado de vagas. Cancelamentos de última hora podem não ser passíveis de reembolso.</p>""},{""title"":""4. Direitos de Conteúdo e Propriedade Intelectual"",""content"":""<p>O conteúdo disponível, incluindo textos, metodologias (como os blocos do Biostretch), imagens, ilustrações, fotografias e áudios constituem propriedade intelectual protegida. O acesso às nossas aulas e plataformas concede a você o direito de vivenciar a prática para fins estritamente pessoais.</p><p>É <strong>expressamente proibida</strong> a gravação, reprodução, distribuição ou ensino da metodologia sem a devida formação certificada ou autorização escrita.</p>""},{""title"":""5. Privacidade e Segurança"",""content"":""<p>Ao interagir com nosso site, você aceita nossa Política de Privacidade, que detalha nossa abordagem responsável para o manejo de dados e conformidade com as leis. Adotamos práticas rígidas para garantir a confidencialidade das informações compartilhadas conosco.</p>""},{""title"":""6. Modificações dos Termos"",""content"":""<p>A evolução é parte de como operamos, o que significa que estes Termos podem passar por atualizações para refletir melhor as mudanças em nossos serviços. Sempre que isso acontecer, a versão mais recente estará disponível nesta página.</p>""}]","[{""title"":""1. Acceptance of Terms"",""content"":""<p>Welcome to <strong>Dance2Dance</strong>. By browsing and using our site and services, you automatically agree to follow the rules and conditions established here. If you do not agree with any point, please do not use our services.</p>""},{""title"":""2. Nature of Practice and Disclaimer"",""content"":""<p>The methodologies taught (Biostretch and Be The Dance) are practices focused on movement, breathing, and body awareness. <strong>They do not replace medical, physiotherapeutic, or psychological diagnoses or treatments.</strong> You assume the responsibility to respect your body's limits and seek medical clearance if you have pre-existing conditions.</p>""},{""title"":""3. Registration and Cancellations"",""content"":""<p>Registrations for workshops and classes are confirmed upon payment. Specific cancellation rules apply depending on the event to organize limited spots. Last-minute cancellations may not be eligible for refunds.</p>""},{""title"":""4. Intellectual Property"",""content"":""<p>The available content, including texts, methodologies, images, and audio, is protected intellectual property. Access to our classes grants you the right to experience the practice for personal purposes only.</p><p>Recording, reproduction, distribution, or teaching of the methodology without certification or written authorization is <strong>strictly prohibited</strong>.</p>""},{""title"":""5. Privacy and Security"",""content"":""<p>By interacting with our site, you accept our Privacy Policy, which details our responsible approach to data handling. We adopt strict practices to ensure confidentiality.</p>""},{""title"":""6. Modifications to Terms"",""content"":""<p>These Terms may be updated to reflect changes in our services. The latest version will always be available on this page.</p>""}]","[{""title"":""1. Aksept av Vilkår"",""content"":""<p>Velkommen til <strong>Dance2Dance</strong>. Ved å bruke nettstedet og tjenestene våre godtar du automatisk disse reglene. Hvis du ikke er enig, vennligst ikke bruk tjenestene våre.</p>""},{""title"":""2. Praksisens Natur og Ansvarsfraskrivelse"",""content"":""<p>Metodikkene (Biostretch og Be The Dance) fokuserer på bevegelse og kroppsbevissthet. <strong>De erstatter ikke medisinsk eller psykologisk behandling.</strong> Du har ansvar for å respektere kroppens grenser.</p>""},{""title"":""3. Påmelding og Avbestilling"",""content"":""<p>Påmeldinger er bekreftet ved betaling. Spesifikke avbestillingsregler gjelder avhengig av arrangementet. Avbestillinger i siste liten refunderes kanskje ikke.</p>""},{""title"":""4. Åndsverk og Eiendomsrett"",""content"":""<p>Innholdet, inkludert metoder og tekster, er beskyttet åndsverk. Tilgang gir deg rett til å oppleve praksisen kun for personlige formål.</p><p>Kopiering eller undervisning av metodikken uten autorisasjon er <strong>strengt forbudt</strong>.</p>""},{""title"":""5. Personvern"",""content"":""<p>Ved å bruke nettstedet godtar du vår personvernerklæring, som detaljerer vår håndtering av data i samsvar med lover.</p>""},{""title"":""6. Endringer i Vilkår"",""content"":""<p>Disse vilkårene kan oppdateres for å gjenspeile endringer i våre tjenester. Den nyeste versjonen vil alltid være her.</p>""}]"
legal.terms.title,"Termos de Uso","Terms of Use","Brukervilkår"
nav.agenda,"Agenda","Schedule","Timeplan"
nav.contact,"Contato","Contact","Kontakt"
nav.editProfile,"Editar Cadastro","Edit Profile","Rediger Profil"
nav.hello,"Olá","Hello","Hei"
nav.login,"Entrar","Login","Logg inn"
nav.logout,"Sair","Logout","Logg ut"
nav.myProfile,"Meu Perfil","My Profile","Min Profil"
nav.signup,"Cadastre-se","Sign Up","Registrer deg"
nav.social,"Projeto Social","Social Project","Sosialt Prosjekt"
nav.subscribe,"Inscreva-se","Subscribe","Meld deg på"
nav.workshops,"Workshops","Workshops","Workshops"
phil.line1.p1,"Movemos o corpo para","We move the body to","Vi beveger kroppen for å"
phil.line1.p2,"aproximar pessoas","bring people together","bringe folk sammen"
phil.line2.p1,"Aproximamos pessoas para","We bring people together to","Vi bringer folk sammen for å"
phil.line2.p2,"transformar comunidades.","transform communities.","transformere samfunn."
programs.be-the-dance.corporate.description,"Detalhes sobre o Be the Dance in Company...","Detalhes sobre o Be the Dance in Company...","Detalhes sobre o Be the Dance in Company..."
programs.be-the-dance.corporate.title,"Formato para Empresas","Corporate Format","Bedriftsformat"
programs.be-the-dance.description,"Filosofia e conceito do Be the Dance...","Filosofia e conceito do Be the Dance...","Filosofia e conceito do Be the Dance..."
programs.be-the-dance.origin.cv_link_text,"Currículo da Criadora","Creator's CV","Skaperens CV"
programs.be-the-dance.origin.cv_url,"/safia","/safia","/safia"
